Price,Close,High,Low,Open,Volume,SMA_10,SMA_30,Momentum_10,RSI_14,Rolling_STD_20,Lag_1,Lag_3,Lag_7
Ticker,STT,STT,STT,STT,STT,,,,,,,,
Date,,,,,,,,,,,,,
2015-02-13,57.898040771484375,58.51517811160139,57.69483946397871,58.138874715385306,2536700,56.966312408447266,56.297241846720375,4.079132080078125,65.99492775223194,1.5613928284474468,58.24424743652344,58.15392303466797,55.51980972290039
2015-02-17,58.15392303466797,58.26681519941517,56.49066274932354,56.68634211875642,3007900,57.289179992675784,56.27014808654785,3.2286758422851562,71.48068554928835,1.6258017008215473,57.898040771484375,57.94319534301758,56.21220016479492
2015-02-18,57.386268615722656,58.23671223434131,57.25079916177211,58.06361588547541,2122900,57.411856460571286,56.250078709920246,1.2267646789550781,73.07352005451787,1.6284418511101544,58.15392303466797,58.24424743652344,57.288429260253906
2015-02-19,57.604522705078125,57.89051120978877,57.07017258889211,57.12285483296865,2082100,57.62032775878906,56.29247563680013,2.0847129821777344,72.48601424327835,1.6559227306296933,57.386268615722656,57.898040771484375,57.31852722167969
2015-02-20,58.42485809326172,58.47001840135281,57.145428955375785,57.393790553109035,2418000,57.84159355163574,56.34465662638346,2.212657928466797,76.98424688638663,1.6800742975090506,57.604522705078125,58.15392303466797,58.15392303466797
2015-02-23,58.0259895324707,58.3646660749907,57.54432158669256,58.221668929797715,1790300,57.91534957885742,56.34340273539225,0.7375602722167969,69.80787235483936,1.6600644688424226,58.42485809326172,57.386268615722656,57.94319534301758
2015-02-24,58.86137008666992,59.3656152041911,57.980821614234394,57.980821614234394,2882200,58.069633865356444,56.39809201558431,1.5428428649902344,68.18662215945564,1.7051134963425594,58.0259895324707,57.604522705078125,58.24424743652344
2015-02-25,57.88298416137695,58.56032559909691,57.446470896496585,58.50012142685374,4417600,58.04253997802734,56.4367259979248,-0.2709388732910156,65.2131887648352,1.6478622063246329,58.86137008666992,58.42485809326172,57.898040771484375
2015-02-26,56.302528381347656,57.42391695647129,56.08427166018808,57.09276803582423,5054600,57.87847328186035,56.42719319661458,-1.6406669616699219,50.52183122895122,1.4714736487144973,57.88298416137695,58.0259895324707,58.15392303466797
2015-02-27,56.03157043457031,56.54334325601816,56.00147121736794,56.22724979798874,3095000,57.65720558166504,56.454789352416995,-2.212677001953125,41.99417807886322,1.3192446399687465,56.302528381347656,58.86137008666992,57.386268615722656
2015-03-02,56.87449645996094,56.882024135810205,55.97137058381463,56.03157476480591,3576400,57.5548511505127,56.52478192647298,-1.0235443115234375,47.43704691437183,1.072098312483841,56.03157043457031,57.88298416137695,57.604522705078125
2015-03-03,56.72396469116211,57.06263538338758,56.38528825700364,56.50570807588656,2137000,57.41185531616211,56.567680231730144,-1.4299583435058594,41.0376873549038,0.9321989305074372,56.87449645996094,56.302528381347656,58.42485809326172
2015-03-04,56.54336166381836,56.731513413222444,56.19716313394713,56.468102112443866,2426200,57.32756462097168,56.61609878540039,-0.8429069519042969,41.19323908940629,0.9100758168110828,56.72396469116211,56.03157043457031,58.0259895324707
2015-03-05,56.197139739990234,56.535816193093495,55.98641078709041,56.535816193093495,2365300,57.18682632446289,56.61434237162272,-1.4073829650878906,37.19383418232565,0.8481053901685157,56.54336166381836,56.87449645996094,58.86137008666992
2015-03-06,54.79729080200195,57.08521580944954,54.03716218566771,54.20273083285538,6013400,56.824069595336915,56.50697008768717,-3.6275672912597656,32.861790434905444,0.9984098667587902,56.197139739990234,56.72396469116211,57.88298416137695
